candidate_key,folds,chosen_folds,score_name,primary_col,confirm_preset,filter_preset,barrier,take_profit_mult,stop_loss_mult,max_holding_bars,avg_monthly_return_mean,avg_monthly_return_median,worst_monthly_return_min,max_drawdown_min,profit_factor_mean,positive_month_rate_mean,avg_trades_per_month_mean,robust_score_mean,constraints_ok_rate,monthly_balance_ok_rate,approved_candidate
wfo_1h_heavy|sem_confirmacao|sem_filtro|tp2.0_sl1.0_96,4,0,wfo_1h_heavy,pred_score_wfo_1h_heavy,sem_confirmacao,sem_filtro,tp2.0_sl1.0_96,2.0,1.0,96,0.004981264254739257,0.009326954943498972,-0.02379134485895551,-0.0285656832246598,1.3741826866250366,0.625,7.25,-0.005722347864716513,0.25,0.75,False
rank_balanced_4tf|exec_30m_dir_1h_minimo|sem_filtro|tp2.2_sl1.2_96,4,0,rank_balanced_4tf,pred_rank_score_balanced_4tf,exec_30m_dir_1h_minimo,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.004223837218916379,0.007545525978638001,-0.03172139560985876,-0.039716736167759614,1.3772584094058944,0.625,8.0,-0.0060143823535698405,0.25,0.75,False
rank_balanced_4tf|sem_confirmacao|sem_filtro|tp2.2_sl1.2_96,4,0,rank_balanced_4tf,pred_rank_score_balanced_4tf,sem_confirmacao,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.004223837218916379,0.007545525978638001,-0.03172139560985876,-0.039716736167759614,1.3772584094058944,0.625,8.0,-0.0060143823535698405,0.25,0.75,False
rank_wfo_no4h|exec_30m_dir_1h_minimo|sem_filtro|tp2.2_sl1.2_96,4,0,rank_wfo_no4h,pred_rank_score_wfo_no4h,exec_30m_dir_1h_minimo,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.004171723920229145,0.007326413374550367,-0.02726150873602884,-0.027128184714919623,1.3163145440509285,0.5,8.0,-0.006110878842084698,0.25,0.75,False
rank_wfo_no4h|sem_confirmacao|sem_filtro|tp2.2_sl1.2_96,4,0,rank_wfo_no4h,pred_rank_score_wfo_no4h,sem_confirmacao,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.004171723920229145,0.007326413374550367,-0.02726150873602884,-0.027128184714919623,1.3163145440509285,0.5,8.0,-0.006110878842084698,0.25,0.75,False
daytrade_1h_30m|exec_30m_dir_1h_minimo|sem_filtro|tp2.2_sl1.2_96,4,0,daytrade_1h_30m,pred_score_daytrade_1h_30m,exec_30m_dir_1h_minimo,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.0018463599255318652,0.0026742910345043946,-0.021167126732045793,-0.020128343684982952,1.0182299806596375,0.5,6.875,-0.010043861086112289,0.25,0.75,False
daytrade_1h_30m|sem_confirmacao|sem_filtro|tp2.2_sl1.2_96,4,0,daytrade_1h_30m,pred_score_daytrade_1h_30m,sem_confirmacao,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.0018463599255318652,0.0026742910345043946,-0.021167126732045793,-0.020128343684982952,1.0182299806596375,0.5,6.875,-0.010043861086112289,0.25,0.75,False
rank_directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp2.2_sl1.2_96,4,0,rank_directional_1h,pred_rank_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.002542216294900576,0.0069120342914144595,-0.04567221901355356,-0.05185146187720413,1.7407939614588424,0.625,8.25,-0.016729160188330233,0.25,0.75,False
rank_directional_1h|sem_confirmacao|sem_filtro|tp2.2_sl1.2_96,4,0,rank_directional_1h,pred_rank_score_directional_1h,sem_confirmacao,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.002542216294900576,0.0069120342914144595,-0.04567221901355356,-0.05185146187720413,1.7407939614588424,0.625,8.25,-0.016729160188330233,0.25,0.75,False
rank_balanced_4tf|exec_30m_dir_1h_minimo|volume_muito_leve|tp2.2_sl1.2_96,4,0,rank_balanced_4tf,pred_rank_score_balanced_4tf,exec_30m_dir_1h_minimo,volume_muito_leve,tp2.2_sl1.2_96,2.2,1.2,96,0.005147857632986266,0.001651448433266478,-0.015773773440049266,-0.02078113521631464,1.213241869269691,0.625,5.5,-0.002723862646820276,0.25,0.5,False
rank_balanced_4tf|sem_confirmacao|volume_muito_leve|tp2.2_sl1.2_96,4,0,rank_balanced_4tf,pred_rank_score_balanced_4tf,sem_confirmacao,volume_muito_leve,tp2.2_sl1.2_96,2.2,1.2,96,0.005147857632986266,0.001651448433266478,-0.015773773440049266,-0.02078113521631464,1.213241869269691,0.625,5.5,-0.002723862646820276,0.25,0.5,False
rank_wfo_no4h|exec_30m_dir_1h_minimo|volume_muito_leve|tp2.2_sl1.2_96,4,0,rank_wfo_no4h,pred_rank_score_wfo_no4h,exec_30m_dir_1h_minimo,volume_muito_leve,tp2.2_sl1.2_96,2.2,1.2,96,0.004929030818123015,0.0064765940888845686,-0.020436787151462132,-0.025059450383177917,1.4973678003410527,0.625,6.625,-0.005137203427940934,0.25,0.5,False
